GROWTH_PLATFORM_NM,SVC_LINE_NM,PRACTICE_NM,SVC_AREA_NM,CAPACITY_GROUP_NM,JRS_NM,NEW_GROWTH_PLATFORM_NM,NEW_SVC_LINE_NM,NEW_PRACTICE_NM,ECONOMIC_MODEL_NM,NEW_SVC_AREA_NM,NEW_JRS_NM,PRACTICE_TYPE_NM,JRS_ACTION,COMMENTS
Cloud Application Innovation,CAS Manage,SAP AMS,AMI-SAP AMS YE,AMI - SAP HANA OTC,Package Specialist-SAP CRM,Hybrid Cloud Services,Hybrid Cloud Management,SAP Managed Services,Managed Services,SAP Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,SAP AMS,AMI-SAP AMS YE,AMI - SAP HANA OTC,Package Specialist-SAP IS Retail,Hybrid Cloud Services,Hybrid Cloud Management,SAP Managed Services,Managed Services,SAP Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,SAP AMS,AMI-SAP AMS YE,AMI - SAP HANA OTC,Package Specialist-SAP SCM GTS,Hybrid Cloud Services,Hybrid Cloud Management,SAP Managed Services,Managed Services,SAP Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,SAP AMS,AMI-SAP AMS YE,AMI - SAP HANA OTC,Package Specialist-SAP SCM SD,Hybrid Cloud Services,Hybrid Cloud Management,SAP Managed Services,Managed Services,SAP Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,SAP AMS,AMI-SAP AMS YE,AMI - SAP HR,Package Specialist-SAP HR,Hybrid Cloud Services,Hybrid Cloud Management,SAP Managed Services,Managed Services,SAP Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,SAP AMS,AMI-SAP AMS YE,AMI - SAP HR,Package Specialist-SAP HR Comp & Payroll,Hybrid Cloud Services,Hybrid Cloud Management,SAP Managed Services,Managed Services,SAP Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,SAP AMS,AMI-SAP AMS YE,AMI - SAP Project Mgmt,Project Manager-SAP ADM,Hybrid Cloud Services,Hybrid Cloud Management,SAP Managed Services,Managed Services,SAP Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,SAP AMS,AMI-SAP AMS YE,AMI - SAP Project Mgmt,Project Manager-SAP HANA ADM,Hybrid Cloud Services,Hybrid Cloud Management,SAP Managed Services,Managed Services,SAP Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,SAP AMS,AMI-SAP AMS YE,AMI - SAP Testing & Automation Services,Test Specialist-SAP Automation,Hybrid Cloud Services,Hybrid Cloud Management,SAP Managed Services,Managed Services,SAP Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,SAP AMS,AMI-SAP AMS YE,AMI - SAP Testing & Automation Services,Test Specialist-Test Management.SAP,Hybrid Cloud Services,Hybrid Cloud Management,SAP Managed Services,Managed Services,SAP Managed Services,,Rename,no change,
Cloud Application Innovation,CAS Manage,ServiceNow,AMI-ServiceNow EW,AMI - ServiceNow,Application Architect-ServiceNow,Hybrid Cloud Services,Hybrid Cloud Management,ServiceNow,Managed Services,ServiceNow Core,,Intact,no change,
Cloud Application Innovation,CAS Manage,ServiceNow,AMI-ServiceNow EW,AMI - ServiceNow,Application Consultant-ServiceNow,Hybrid Cloud Services,Hybrid Cloud Management,ServiceNow,Managed Services,ServiceNow Core,,Intact,no change,
Cloud Application Innovation,CAS Manage,ServiceNow,AMI-ServiceNow EW,AMI - ServiceNow,Application Developer-ServiceNow,Hybrid Cloud Services,Hybrid Cloud Management,ServiceNow,Managed Services,ServiceNow Core,,Intact,no change,
,,,,,Business Sales & Delivery Executive-ServiceNow,Hybrid Cloud Services,Hybrid Cloud Management,ServiceNow,Managed Services,ServiceNow Core,Business Sales & Delivery Executive-ServiceNow,Intact,add,net new JR/S. Proposed by SL/Practice - BAU Taxonomy process pending to potentially implement change.
Cloud Application Innovation,CAS Manage,ServiceNow,AMI-ServiceNow EW,AMI - ServiceNow,Infrastructure Specialist-ServiceNow,Hybrid Cloud Services,Hybrid Cloud Management,ServiceNow,Managed Services,ServiceNow Core,,Intact,no change,
,,,,,Application Consultant-ServiceNow Customer,Hybrid Cloud Services,Hybrid Cloud Management,ServiceNow,Managed Services,Customer Service Management,Application Consultant-ServiceNow Customer,Intact,add,net new JR/S. Proposed by SL/Practice - BAU Taxonomy process pending to potentially implement change.
,,,,,Application Consultant-ServiceNow HR,Hybrid Cloud Services,Hybrid Cloud Management,ServiceNow,Managed Services,HR Service Management,Application Consultant-ServiceNow HR,Intact,add,net new JR/S. Proposed by SL/Practice - BAU Taxonomy process pending to potentially implement change.
,,,,,Application Consultant-ServiceNow IT,Hybrid Cloud Services,Hybrid Cloud Management,ServiceNow,Managed Services,IT Service Management,Application Consultant-ServiceNow IT,Intact,add,net new JR/S. Proposed by SL/Practice - BAU Taxonomy process pending to potentially implement change.
Cloud Application Innovation,Next Gen EA,Microsoft,EAM-Microsoft Applications JA,EAM - Microsoft Applications,Application Architect-Microsoft Analytics & Cloud,Business Transformation Services,Data & Technology Transformation,Microsoft,Techology & SI,Microsoft Applications,,Intact,no change,
Cloud Application Innovation,Next Gen EA,Microsoft,EAM-Microsoft Applications JA,EAM - Microsoft Applications,Business Sales & Delivery Executive-Microsoft,Business Transformation Services,Data & Technology Transformation,Microsoft,Techology & SI,Microsoft Applications,,Intact,no change,
Cloud Application Innovation,Next Gen EA,Microsoft,EAM-Microsoft Collaboration & Analytics JB,EAM - Microsoft Collaboration & Analytics,Application Developer-Microsoft Cloud,Business Transformation Services,Data & Technology Transformation,Microsoft,Techology & SI,Microsoft Collaboration & Analytics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,Microsoft,EAM-Microsoft Collaboration & Analytics JB,EAM - Microsoft Collaboration & Analytics,Application Developer-Microsoft Enterprise Mobility,Business Transformation Services,Data & Technology Transformation,Microsoft,Techology & SI,Microsoft Collaboration & Analytics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,Microsoft,EAM-Microsoft Collaboration & Analytics JB,EAM - Microsoft Collaboration & Analytics,Package Consultant-Microsoft Analytics,Business Transformation Services,Data & Technology Transformation,Microsoft,Techology & SI,Microsoft Collaboration & Analytics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,Microsoft,EAM-Microsoft Dynamics 365 JC,EAM - Microsoft Dynamics,Package Consultant-Microsoft Business Applications,Business Transformation Services,Data & Technology Transformation,Microsoft,Techology & SI,Microsoft Dynamics 365,,Intact,no change,
Cloud Application Innovation,Next Gen EA,Microsoft,EAM-Microsoft Navision JE,EAM - Microsoft Navision,Application Architect-Microsoft Business Applications,Business Transformation Services,Data & Technology Transformation,Microsoft,Techology & SI,Microsoft Navision,,Intact,no change,
Cloud Application Innovation,Next Gen EA,Microsoft,EAM-Microsoft Project Change & Sales JG,EAM - Microsoft Project Management,Project Manager-Microsoft,Business Transformation Services,Data & Technology Transformation,Microsoft,Techology & SI,Microsoft Project Change & Sales,,Intact,no change,
Cloud Application Innovation,Next Gen EA,N/A - Service Area not allocated,N/A - Service Area not allocated,EAM - Complex Programs,Project Manager-Complex Programs.Next Gen EA,#N/A,#N/A,#N/A,#N/A,,Complex Project Manager-SAP HANA,#N/A,deletion/migration,
Cloud Application Innovation,Next Gen EA,Oracle,EAM-Oracle Analytics OF,EAM - Oracle Business Analytics,Package Consultant-Oracle Business Analytics,Business Transformation Services,Finance & Supply Chain Transformation,Oracle,Techology & SI,Oracle Analytics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,Oracle,EAM-Oracle Analytics OF,EAM - Oracle Hyperion,Package Consultant-Oracle Business Analytics Cloud,Business Transformation Services,Finance & Supply Chain Transformation,Oracle,Techology & SI,Oracle Analytics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,Oracle,EAM-Oracle Analytics OF,EAM - Oracle Hyperion,Package Consultant-Oracle Enterprise Performance Management,Business Transformation Services,Finance & Supply Chain Transformation,Oracle,Techology & SI,Oracle Analytics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,Oracle,EAM-Oracle Analytics OF,EAM - Oracle Hyperion,Package Consultant-Oracle Enterprise Performance Management Cloud,Business Transformation Services,Finance & Supply Chain Transformation,Oracle,Techology & SI,Oracle Analytics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,Oracle,EAM-Oracle Cloud OG,EAM - Oracle Cloud CX,Package Consultant-Oracle Cloud CX,Business Transformation Services,Finance & Supply Chain Transformation,Oracle,Techology & SI,Oracle Cloud,,Intact,no change,
Cloud Application Innovation,Next Gen EA,Oracle,EAM-Oracle Cloud OG,EAM - Oracle Cloud Financials,Package Consultant-Oracle ERP Cloud Financials,Business Transformation Services,Finance & Supply Chain Transformation,Oracle,Techology & SI,Oracle Cloud,,Intact,no change,
Cloud Application Innovation,Next Gen EA,Oracle,EAM-Oracle Cloud OG,EAM - Oracle Cloud Financials,Package Consultant-Oracle SCM Cloud,Business Transformation Services,Finance & Supply Chain Transformation,Oracle,Techology & SI,Oracle Cloud,,Intact,no change,
Cloud Application Innovation,Next Gen EA,Oracle,EAM-Oracle Cloud OG,EAM - Oracle Cloud HCM,Package Consultant-Oracle Cloud HCM,Business Transformation Services,Finance & Supply Chain Transformation,Oracle,Techology & SI,Oracle Cloud,,Intact,,moving to Talent Transformation?
Cloud Application Innovation,Next Gen EA,Oracle,EAM-Oracle Cloud OG,EAM - Oracle JDE Project Management,Project Manager-Oracle Enterprise Applications,Business Transformation Services,Finance & Supply Chain Transformation,Oracle,Techology & SI,Oracle Cloud,,Intact,no change,
Cloud Application Innovation,Next Gen EA,Oracle,EAM-Oracle Customer Experience O7,EAM - Oracle Cust Care & Billing,Package Consultant-Oracle Utilities,Business Transformation Services,Finance & Supply Chain Transformation,Oracle,Techology & SI,Oracle Customer Experience,,Intact,no change,
Cloud Application Innovation,Next Gen EA,Oracle,EAM-Oracle Customer Experience O7,EAM - Oracle Siebel,Package Consultant-Siebel,Business Transformation Services,Finance & Supply Chain Transformation,Oracle,Techology & SI,Oracle Customer Experience,,Intact,no change,
Cloud Application Innovation,Next Gen EA,Oracle,EAM-Oracle E Business O3,EAM - Oracle Financials,Package Consultant-Oracle ERP Financials,Business Transformation Services,Finance & Supply Chain Transformation,Oracle,Techology & SI,Oracle E Business,,Intact,no change,
Cloud Application Innovation,Next Gen EA,Oracle,EAM-Oracle E Business O3,EAM - Oracle Financials,Package Consultant-Oracle SCM,Business Transformation Services,Finance & Supply Chain Transformation,Oracle,Techology & SI,Oracle E Business,,Intact,no change,
Cloud Application Innovation,Next Gen EA,Oracle,EAM-Oracle E Business O3,EAM - Oracle GTM,Business Sales & Delivery Executive-Oracle,Business Transformation Services,Finance & Supply Chain Transformation,Oracle,Techology & SI,Oracle E Business,,Intact,no change,
Cloud Application Innovation,Next Gen EA,Oracle,EAM-Oracle E Business O3,EAM - Oracle SCM,Package Consultant-Oracle Mfg & Plng,Business Transformation Services,Finance & Supply Chain Transformation,Oracle,Techology & SI,Oracle E Business,,Intact,no change,
Cloud Application Innovation,Next Gen EA,Oracle,EAM-Oracle Edge O4,EAM - Oracle Edge,Package Consultant-Oracle Edge,Business Transformation Services,Finance & Supply Chain Transformation,Oracle,Techology & SI,Oracle Edge,,Intact,no change,
Cloud Application Innovation,Next Gen EA,Oracle,EAM-Oracle Industry OC,EAM - Oracle Banking,Package Consultant-Oracle Banking,Business Transformation Services,Finance & Supply Chain Transformation,Oracle,Techology & SI,Oracle Industry,,Intact,no change,
Cloud Application Innovation,Next Gen EA,Oracle,EAM-Oracle Industry OC,EAM - Oracle Retail,Package Consultant-Oracle Retail,Business Transformation Services,Finance & Supply Chain Transformation,Oracle,Techology & SI,Oracle Industry,,Intact,no change,
Cloud Application Innovation,Next Gen EA,Oracle,EAM-Oracle JDE O5,EAM - Oracle JDE,Package Consultant-JD Edwards Distribution,Business Transformation Services,Finance & Supply Chain Transformation,Oracle,Techology & SI,Oracle JDE,,Intact,no change,
Cloud Application Innovation,Next Gen EA,Oracle,EAM-Oracle JDE O5,EAM - Oracle JDE,Package Consultant-JD Edwards Finance,Business Transformation Services,Finance & Supply Chain Transformation,Oracle,Techology & SI,Oracle JDE,,Intact,no change,
Cloud Application Innovation,Next Gen EA,Oracle,EAM-Oracle JDE O5,EAM - Oracle JDE,Package Consultant-JD Edwards Manufacturing,Business Transformation Services,Finance & Supply Chain Transformation,Oracle,Techology & SI,Oracle JDE,,Intact,no change,
Cloud Application Innovation,Next Gen EA,Oracle,EAM-Oracle PeopleSoft O6,EAM - Oracle PeopleSoft,Package Consultant-PeopleSoft Financials,Business Transformation Services,Finance & Supply Chain Transformation,Oracle,Techology & SI,Oracle PeopleSoft,,Intact,no change,
Cloud Application Innovation,Next Gen EA,Oracle,EAM-Oracle PeopleSoft O6,EAM - Oracle PeopleSoft,Package Consultant-PeopleSoft HR,Business Transformation Services,Finance & Supply Chain Transformation,Oracle,Techology & SI,Oracle PeopleSoft,,Intact,,moving to Talent Transformation?
Cloud Application Innovation,Next Gen EA,Oracle,EAM-Oracle Technical Infrastructure & Dev O8,EAM - Oracle Applications,Application Architect-Oracle Enterprise Applications,Business Transformation Services,Finance & Supply Chain Transformation,Oracle,Techology & SI,Oracle Technical Infrastructure & Dev,,Intact,no change,
Cloud Application Innovation,Next Gen EA,Oracle,EAM-Oracle Technical Infrastructure & Dev O8,EAM - Oracle Mobile,Package Consultant-Oracle Mobile,Business Transformation Services,Finance & Supply Chain Transformation,Oracle,Techology & SI,Oracle Technical Infrastructure & Dev,n/a,Intact,deletion/migration,"no migration JR/S, only 1 hc"
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Analytics SI,EAM - SAP Business Analytics,Application Architect-SAP Analytics,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Analytics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Analytics SI,EAM - SAP Business Analytics,Package Consultant-SAP BO Reporting,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Analytics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Analytics SI,EAM - SAP Business Analytics,Package Consultant-SAP BPC,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Analytics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Analytics SI,EAM - SAP Business Analytics,Package Consultant-SAP BW Analytics,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Analytics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Analytics SI,EAM - SAP Business Analytics,Package Consultant-SAP EIM,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Analytics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Analytics SI,EAM - SAP HANA Business Analytics,Application Architect-SAP HANA Analytics,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Analytics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Analytics SI,EAM - SAP HANA Business Analytics,Application Architect-SAP HANA Master Data Governance,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Analytics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Analytics SI,EAM - SAP HANA Business Analytics,Package Consultant-SAP BW HANA Analytics,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Analytics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Analytics SI,EAM - SAP HANA Business Analytics,Package Consultant-SAP HANA Advanced Analytics,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Analytics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Analytics SI,EAM - SAP HANA Business Analytics,Package Consultant-SAP HANA Analytics,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Analytics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Analytics SI,EAM - SAP HANA Business Analytics,Package Consultant-SAP HANA BPC,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Analytics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Analytics SI,EAM - SAP HANA Business Analytics,Package Consultant-SAP HANA Master Data Governance,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Analytics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Business Networks BN,EAM - SAP Ariba,Package Consultant-SAP Ariba,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Business Networks,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Business Networks BN,EAM - SAP Ariba,Package Specialist-SAP Ariba,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Business Networks,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP C4 HANA SC,EAM - SAP Hybris,Application Architect-SAP C/4 HANA,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP C4 HANA,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP C4 HANA SC,EAM - SAP Hybris,Package Consultant-SAP C/4 HANA Billing,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP C4 HANA,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP C4 HANA SC,EAM - SAP Hybris,Package Consultant-SAP C/4 HANA C4C,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP C4 HANA,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP C4 HANA SC,EAM - SAP Hybris,Package Consultant-SAP C/4 HANA Cx,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP C4 HANA,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP C4 HANA SC,EAM - SAP Hybris,Package Specialist-SAP C/4 HANA Billing,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP C4 HANA,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP C4 HANA SC,EAM - SAP Hybris,Package Specialist-SAP C/4 HANA C4C,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP C4 HANA,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Forecast to Produce & Logistics S2,EAM - SAP Forecast to Produce & Logistics,Package Consultant-SAP NextGen Manufacturing,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Forecast to Produce & Logistics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Forecast to Produce & Logistics S2,EAM - SAP Forecast to Produce & Logistics,Package Consultant-SAP SCM APO,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Forecast to Produce & Logistics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Forecast to Produce & Logistics S2,EAM - SAP Forecast to Produce Other,Package Consultant-SAP SCM PLM,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Forecast to Produce & Logistics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Forecast to Produce & Logistics S2,EAM - SAP Forecast to Produce Other,Package Consultant-SAP SCM PM,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Forecast to Produce & Logistics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Forecast to Produce & Logistics S2,EAM - SAP Forecast to Produce Other,Package Consultant-SAP SCM PP,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Forecast to Produce & Logistics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Forecast to Produce & Logistics S2,EAM - SAP Forecast to Produce Other,Package Consultant-SAP SCM QM,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Forecast to Produce & Logistics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Forecast to Produce & Logistics S2,EAM - SAP Forecast to Produce Other,Package Consultant-SAP SCM TM,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Forecast to Produce & Logistics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Forecast to Produce & Logistics S2,EAM - SAP Forecast to Produce WMS,Package Consultant-SAP SCM EWM,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Forecast to Produce & Logistics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Forecast to Produce & Logistics S2,EAM - SAP Forecast to Produce WMS,Package Consultant-SAP SCM WMS,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Forecast to Produce & Logistics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Forecast to Produce & Logistics S2,EAM - SAP HANA Forecast to Produce & Logistics,Package Consultant-SAP HANA SCM EWM,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Forecast to Produce & Logistics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Forecast to Produce & Logistics S2,EAM - SAP HANA Forecast to Produce & Logistics,Package Consultant-SAP HANA SCM IBP,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Forecast to Produce & Logistics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Forecast to Produce & Logistics S2,EAM - SAP HANA Forecast to Produce & Logistics,Package Consultant-SAP HANA SCM PLM,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Forecast to Produce & Logistics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Forecast to Produce & Logistics S2,EAM - SAP HANA Forecast to Produce & Logistics,Package Consultant-SAP HANA SCM PM,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Forecast to Produce & Logistics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Forecast to Produce & Logistics S2,EAM - SAP HANA Forecast to Produce & Logistics,Package Consultant-SAP HANA SCM PP,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Forecast to Produce & Logistics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Forecast to Produce & Logistics S2,EAM - SAP HANA Forecast to Produce & Logistics,Package Consultant-SAP HANA SCM QM,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Forecast to Produce & Logistics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Forecast to Produce & Logistics S2,EAM - SAP HANA Forecast to Produce & Logistics,Package Consultant-SAP HANA SCM WMS,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Forecast to Produce & Logistics,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Hire to Retire S3,EAM - SAP Hire to Retire,Package Consultant-SAP HR,Business Transformation Services,Talent Transformation,SAP Success Factors,Techology & SI,SAP Success Factors,,Svc Area Split,change,changing Practice from SAP to SAP Success Factors; changing Service Area from 'EAM-SAP Hire to Retire S3' to SAP Success Factors
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Hire to Retire S3,EAM - SAP Hire to Retire,Package Consultant-SAP HR Comp & Payroll,Business Transformation Services,Talent Transformation,SAP Success Factors,Techology & SI,SAP Success Factors,,Svc Area Split,change,changing Practice from SAP to SAP Success Factors; changing Service Area from 'EAM-SAP Hire to Retire S3' to SAP Success Factors
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Industry Solutions SN,EAM - SAP Industry Solutions,Package Consultant-SAP IS (Other Industries),Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Industry Solutions,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Industry Solutions SN,EAM - SAP Industry Solutions,Package Consultant-SAP IS Banking,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Industry Solutions,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Industry Solutions SN,EAM - SAP Industry Solutions,Package Consultant-SAP IS Oil & Gas,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Industry Solutions,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Industry Solutions SN,EAM - SAP Industry Solutions,Package Consultant-SAP IS Retail,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Industry Solutions,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Industry Solutions SN,EAM - SAP Industry Solutions,Package Consultant-SAP IS Utilities,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Industry Solutions,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Mobility SQ,EAM - SAP Mobility,Application Architect-SAP NextGen Technical Innovation,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Mobility,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Mobility SQ,EAM - SAP Mobility,Application Developer-SAP NextGen CloudDev,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Mobility,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Mobility SQ,EAM - SAP Mobility,Package Consultant-SAP NextGen UX & Mobile,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Mobility,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Opportunity to Cash S4,EAM - SAP HANA Opportunity to Cash,Package Consultant-SAP HANA CRM,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Opportunity to Cash,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Opportunity to Cash S4,EAM - SAP HANA Opportunity to Cash,Package Consultant-SAP HANA Sales,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Opportunity to Cash,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Opportunity to Cash S4,EAM - SAP HANA Opportunity to Cash,Package Consultant-SAP HANA SCM SD,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Opportunity to Cash,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Opportunity to Cash S4,EAM - SAP HANA Opportunity to Cash,Package Consultant-SAP HANA SCM TPM,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Opportunity to Cash,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Opportunity to Cash S4,EAM - SAP HANA Opportunity to Cash,Package Consultant-SAP HANA Services,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Opportunity to Cash,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Opportunity to Cash S4,EAM - SAP Opportunity to Cash,Package Consultant-SAP CRM,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Opportunity to Cash,,Intact,no change,
Cloud Application Innovation,Next Gen EA,SAP,EAM-SAP Opportunity to Cash S4,EAM - SAP Opportunity to Cash,Package Consultant-SAP SCM SD,Business Transformation Services,Finance & Supply Chain Transformation,SAP,Techology & SI,SAP Opportunity to Cash,,Intact,no change,
